gdp,5q moving ave,3q moving ave,gdpsa
15052.7,,,17109.7
18205.6,,16888.066667,17797.7
17405.9,18265.9375,19016.666667,17907.8
21438.5,18806.475,18606.4,19287.5
16974.8,19353.8125,19673.7,19395.7
20607.8,19763.725,18988.333333,20027.5
19382.4,20042.25,20910.5,20066.2
22741.3,20291.3,20007.966667,20216.9
17900.2,20577.9625,20772.1,20507.5
21674.8,21047.6875,20061.233333,21113.6
20608.7,21648.4625,22518.766667,21461.6
25272.8,22299.0125,22018.8,22374
20174.9,23135.75,23350.733333,23114
24604.5,24076.65,23050.766667,24085.3
24372.9,24938.1875,26004.4,25311.3
29035.8,25662.425,25570.966667,25677.6
23304.2,26228.25,26536.366667,26749.7
27269.1,26671.45,25602.733333,26679.2
26234.9,26944.6125,28074.466667,27095.6
30719.4,27231.3875,26920.066667,27003.2
23805.9,27722.7875,27862.3,27385.2
29061.6,28489.8,27080.366667,28674.5
28373.6,29356.8625,30717.333333,29494
34716.8,30253.8625,29945.133333,30404.1
26745,31265.1625,31586.766667,31282.4
33298.5,32284.5625,30756.866667,32786.2
32227.1,33130.45,34848.033333,33422.3
39018.5,33805.75,33485.333333,33798.2
29210.4,34718.675,34821.466667,34136.5
36235.5,36067.85,34013.133333,35868.3
36593.5,37422.625,39424.833333,38023.7
45445.5,38566.85,38553.533333,39456.5
33621.6,39607.4875,40015.066667,39137.1
40978.1,40482.5125,38258.566667,40343.4
40176,41525.025,43339.1,41093.5
48863.2,42732.8375,42527.733333,43064.9
38544,43715.525,44375.133333,44996.8
45718.2,44281.4,42519.866667,45336.9
43297.4,44467.15,46428.133333,44082.1
50268.8,44278.9,44063.533333,43412.6
38624.4,44204.775,44341.666667,43797.3
44131.8,44027.2125,42349,43561
44290.8,43908.4375,45425.833333,44385.6
47854.9,44304.5625,44077.933333,43158
40088.1,44952.925,44593.366667,44934
45837.1,46141,44565.866667,46019.4
47772.4,47345.075,49162.466667,47935.1
53877.9,48294.325,48449.333333,48687.1
43697.7,49279.35,49132.366667,49017.5
49821.5,50285.1375,48395.8,50168.6
51668.2,51554.125,53172.7,51209.1
58028.4,53135.7125,53131.9,52820.6
49699.1,55003.9875,54733.433333,55160.8
56472.8,56820.2125,55378.333333,56864
59963.1,58456.825,60233.066667,58975.7
64263.3,60175.1875,60261.166667,59397.9
56557.1,61751.975,61394.033333,62000.3
63361.7,63072.4625,61869.1,63554.3
65688.5,64207.3375,66050.666667,64420.7
69101.8,65264.85,65195.966667,64733.8
60797.6,66392.175,65826.9,66553.4
67581.3,67830.45,66288.8,68156.6
70487.5,69361.5625,71292.6,68932
75809,70915.4,70878.6,71033.5
66339.3,72999.2375,72206.2,72401.2
74470.3,75334.55,73692.933333,75222.8
80269.2,77687.0125,79816.433333,78470.3
84709.8,80345.8375,80412.4,79694.3
76258.2,82845.025,82263.333333,82253.7
85822,85049.6375,83663.733333,86327.9
88911,87748.675,89479.3,87170.2
93704.9,90223.3125,90490.433333,88944.4
88855.4,92302.05,91860.733333,95796
93021.9,94992.5875,93406.1,93726.1
98341,97057.4625,99054.033333,96674.4
105799.2,98520.1,99140.1,99820.8
93280.1,100282.1125,99792.533333,99864
100298.3,102232.2875,99579.7,101322.6
105160.7,104500.4125,106679.96667,103920.9
114580.9,107041.2,107461.66667,108212.6
102643.4,109796.6625,109495.2,109314.8
111261.3,112359.125,110048.7,111753.2
116241.4,114998.975,117167.53333,115366.1
123999.9,118102.95,118194.83333,117711.8
114343.2,121161.7625,120912.13333,122126.2
124393.3,124176.2875,122105.46667,124155.3
127579.9,127008.5125,129583.6,126818.8
136777.6,129441.4625,129526.93333,129993.8
124223.3,131419.825,131659.23333,132308.2
133976.8,132885.0125,130674.46667,133236.6
133823.3,134348.6125,136685.26667,133326.7
142255.7,136213.3875,135511,135407.5
130454,138622.1125,138458,138103
142664.3,141350.45,139174.63333,141645.8
144405.6,144343.725,146856.66667,144257.3
153500.1,147464.4375,147020.5,147017.9
143155.8,150505.8,150528.03333,151306.2
154928.2,154000.8625,151518.86667,153774.9
156472.6,157702.7875,160264.8,156361.7
169393.6,161356.3125,160914.63333,162507.4
156877.7,165397.9875,165568.6,165904.6
170434.5,169243.225,166870.63333,169258.9
173299.7,172580.75,175687.53333,172772.5
183328.4,175893.45,175423.73333,176004.3
169643.1,179319.725,179047.4,179362.7
184170.7,182752.9875,180262.5,182986.1
186973.7,185755.8,189421.63333,186204.7
197120.5,188794.975,187989.23333,189354.5
179873.5,192159.2,191749.23333,190240.8
198253.7,194811.6625,192643.9,196995.4
199804.5,195200.8125,201189.2,198555.1
205509.4,192762.3625,193303.9,197649.7
174597.8,189383.1,188043,184173.9
184021.8,186798.2625,181873.96667,182685.9
187002.3,187347.375,189552.33333,185877.7
197632.9,191679.3125,190500.8,190517.3
186867.2,197476.3,196969.33333,196298.8
206407.9,203797.925,201422.4,204902.9
210992.1,210085.65,213872.03333,210601.6
224216.1,215410.4375,215264.66667,216680.1
210585.8,220167.925,220029.83333,220786.3
225287.6,224226.5875,222015.23333,223728.3
230172.3,227235.15,230988.36667,229891.1
237505.2,229974.125,229680.9,229145.2
221365.2,232359.725,231763.46667,231953.5
236420,235101.2375,231969.96667,234966.3
238124.7,238851.225,242009.86667,238138.8
251484.9,243111.15,242331.66667,242336.2
237385.4,247797.7125,247783.16667,248502.4
254479.2,252686.2375,249807.53333,253005.6
257558,256391.375,261065.66667,258120.9
271159.8,258374.7625,258689.8,260953.4
247351.6,259782.025,259630.5,259233.3
260380.1,261813.725,256882.3,258833.7
262915.2,264955.4625,268450.5,263836.1
282056.2,268926.75,268853.5,270800
261589.1,272815.575,273852.73333,274198
277912.9,275683.425,271998.33333,276291.5
276493,277821.2875,281942.36667,277412.1
291421.2,280131.3875,279080.4,279514.7
269327,283203.45,283134.66667,281893.1
288655.8,286857.525,282769.8,287212.6
290326.6,290927.3125,295267.53333,291536.1
306820.2,294816.8375,294544.36667,294487.8
286486.3,298415.6125,298639.73333,299314.8
302612.7,302127.325,298086.3,301501.6
305159.9,305749.775,309817.73333,306367.7
321680.6,309743.775,309148.66667,308755.4
300605.5,314055,314243.86667,313924.1
320445.5,318875.875,314289.3,319355.9
321816.9,323807.175,328617.66667,323104.6
343590.6,327765.1375,327851.13333,330073.8
318145.9,331156.0625,332101.76667,331402
334568.8,332043.2,329178.56667,333136.8
334821,330575.1625,335691.13333,335854.8
337683.6,329341.8125,328271.06667,324825.7
312308.6,329210.675,326843.83333,325118
330539.3,331757.15,326883.1,329451.1
337801.4,336793.1,341138.56667,339310.5
355075,342900.35,342693.73333,341844.7
335204.8,348582.1,348926.96667,348541.7
356501.1,353836.5625,349666.5,355163.3
357293.6,358928.35,363804.4,359266.2
377618.5,362903.5,362769.23333,363646.8
353395.6,365981.1375,367041.86667,366821.5
370111.5,368578.5375,363937.13333,368941.9
368304.3,370840.675,375267.6,370543.7
387387,372998.3375,372471.83333,372891.3
361724.2,375185.375,376051.8,375427.2
379044.2,377469.9875,372545.43333,377926.4
376867.9,379720.375,384337.46667,379493.8
397100.3,382142.35,381327.4,381889.3
370014,385173.5125,385748.16667,384747.3
390130.2,388743.6625,383391.8,389148.4
390031.2,392409.1125,397553.2,392586.7
412498.2,395830.9125,395489.7,396191.3
383939.7,399005.4375,400005.6,399745.4
403578.9,401839.125,396499.1,402583.3
401978.7,404362.625,409592.6,404055.8
423220.2,406567.6875,406201.53333,406333
393405.7,409261.8125,409459.76667,409902.5
411753.4,412719.6125,406838.76667,410827.2
415357.2,415879.975,421538.23333,417082.7
437504.1,419085.8625,419088.66667,420208.1
404404.7,422363.925,422770.1,421681.6
426401.5,425265.5125,419246.6,425793.3
426933.6,428298.1625,434158.5,427931.9
449140.4,431353.0875,431034.53333,431473.4
417029.6,434930.225,434795.33333,435435.2
438216,438616.7125,432993.93333,437712.1
443736.2,441656.9125,447927.3,444064.4
461829.7,444689.3375,444742.6,443599.8
428661.9,447431.3125,447111.56667,447909.3
450843.1,450264.4375,444183.3,450495.8
453044.9,452827.3125,459691.33333,452561.1
475186,454872.6875,454679.83333,456769.7
435808.6,457184.075,457018,455081
460059.4,459732.9625,452729.23333,459813.4
462319.7,,469560.46667,461705.9
486302.3,,,467494.9
